Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
MindTickle,2011,Pune,Technology,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",100000000.0,Debt Financing
Krimanshi,2015,Jodhpur,Technology,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed
Slice,2016,Bangalore,Finance,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000.0,Debt Financing
Rapawalk,2017,Bangalore,E-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Seed
Oga Fit's,2017,Bangalore,Technology,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,9Unicorns,3000000.0,Pre-Series
LAVAL,2016,Bangalore,Manufacturing,"Laval Cosmetics, affordable makeup for all ages","Shrishti, Prithika",Jazal Group,3000000.0,Pre-Series
Stride Ventures,2019,New Delhi,Finance,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Ishpreet Gandhi,Small Industries Development Bank of India,80000000.0,Unknown Stage
BlackSoil,2016,Mumbai,Finance,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,unknown,10000000.0,Unknown Stage
Biocon,1978,Bangalore,Health,"Biocon is a healthcare and technology, company focused on biotechnology.",Kiran Mazumdar-Shaw,Goldman Sachs,15000000.0,Unknown Stage
Clientjoy,2013,Gujarat,Technology,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000.0,Pre-Series
Xpressbees,2015,Pune,E-commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",100000000.0,Unknown Stage
GalaxyCard,2017,Gurugram,Finance,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,"Amit Kumar, Gunjeet Singh",India Accelerator,3000000.0,Seed
Wellness Forever,2008,Mumbai,Health,Wellness Forever is the one-stop destination for wellness,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",100000000.0,Unknown Stage
MoooFarm,2019,Gurugram,Agriculture,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",500000.0,Pre-Seed
BitClass,2020,Bangalore,Technology,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000.0,Seed
Gonuts,2020,Mumbai,Media & Entertainment,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",400000.0,Seed
Uolo,2013,Bangalore,Education,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2000000.0,Seed
Kirana King,2014,Jaipur,Retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Anup Kumar,Rajasthan Venture Capital Fund,900000.0,Pre-Series
Jade Forest,2016,Delhi,Food and Beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.","Punweet Singh, Shuchir Suri",unknown,250000.0,Seed
iKure,2010,Kolkata,Health,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",3000000.0,Unknown Stage
FrontRow,2016,Bangalore,Education,"Comprehensive courses, taught by idols.","Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",3200000.0,Seed
Reliance Retail,2006,Mumbai,E-commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",10000000.0,Unknown Stage
TUBBR,2019,Frisco,Media & Entertainment,World's First Personal Social Network,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,3000000.0,Unknown Stage
Ather Energy,2013,Bangalore,Manufacturing,Ather Energy is a manufacturer of electric scooters.,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,35000000.0,Later Stage
Routematic,2007,Bangalore,Technology,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",2000000.0,Unknown Stage
LivFin,2017,New Delhi,Finance,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),Rakesh Malhotra,"DEG, KFW DEG",4700000.0,Unknown Stage
Universal Sportsbiz Pvt Ltd,2012,Bangalore,Lifestyle,A fashion startup based in Bengaluru.,Anjana Reddy,"Accel, Alteria Capital",3000000.0,Unknown Stage
Lattu Kids,2017,Mumbai,Education,Lattu kids is an edutainment platform for preschool kids.,Vivek Bhutyani,Mumbai Angels Network,3000000.0,Unknown Stage
Eggoz,2016,Indore,Food and Beverages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",1500000.0,Pre-Series
Steradian Semiconductors,2016,Bangalore,Technology,Semiconductor company focused on CMOS millimeter wave products for Radar.,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,3000000.0,Unknown Stage
CHARGE+ZONE,2018,Gujarat,Technology,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,3000000.0,Pre-Series
Stones2milestones,2008,Gurugram,Education,Stones2milestones is India (Delhi) Based EdTech Company,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2000000.0,Pre-Series
Udacity,2011,California,Education,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",75000000.0,Debt Financing
AjnaLens,2014,Thane,Technology,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000.0,Pre-Series
Gully Network,2019,Bangalore,E-commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",1200000.0,Pre-Series
TurboHire,2018,Hyderabad,Human Resources,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",1000000.0,Seed
Traya,2016,Mumbai,Health,work with our customers closely to get their hair health sorted for long-term effective results,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",3000000.0,Seed
Charcoal Eats,2015,Mumbai,Technology,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.","Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,2000000.0,Unknown Stage
Mitron TV,2020,Bangalore,Media & Entertainment,Mitron is a free short videoplatform for next generation,"Shivank Agarwal, Anish Khandelwal",9Unicorns,3000000.0,Unknown Stage
Svami,2016,Mumbai,Food and Beverages,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Sahil Jatana,"Niren Shah, Rukam Capital Trust",800000.0,Unknown Stage
Dhurnia,2018,Dhingsara,Education,Developer of an online learning platform intended for various competitive exam preparations.,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",100000.0,Unknown Stage
Expertrons,2019,Mumbai,Education,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",3000000.0,Unknown Stage
Leena AI,2015,New York,Technology,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",8000000.0,Unknown Stage
Bizlog,2016,Bangalore,Transportation & Logistics,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,1000000.0,Unknown Stage
Tamasha.live,2020,Mumbai,Technology,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.","Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",300000.0,Unknown Stage
Fedo,2017,Bangalore,Technology,Artificial Intelligence based Credit Score for Health,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,1000000.0,Unknown Stage
FabHotels,2015,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1000000.0,Unknown Stage
Freshokartz,2016,Jaipur,Agriculture,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Pre-Series
FlexiLoans,2016,Mumbai,Finance,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000.0,Debt Financing
Agrix,2020,Patna,Agriculture,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.","Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,3000000.0,Unknown Stage
BharatAgri,2017,Pune,Agriculture,A Smart Farming Technology Platform for Indian Farmers,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",3000000.0,Pre-Series
FreshtoHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",121000000.0,Series C
Credable,2017,Mumbai,Finance,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Nirav Choksi,Oaks Asset Management,4500000.0,Unknown Stage
Railofy,2019,Mumbai,Transportation & Logistics,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",5000000.0,Seed
Finova Capital,2016,Jaipur,Finance,Finova Capital is a non-banking financial company.,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",55000000.0,Unknown Stage
Teachmint,2020,Bangalore,Education,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000.0,Seed
Peel-Works,2010,Mumbai,E-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",3000000.0,Unknown Stage
Janani,2020,Bangalore,Health,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,200000.0,Pre-Seed
Credgenics,2018,Gurugram,Finance,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",3300000.0,Seed
Finelistings,2015,New Delhi,Lifestyle,A Used Luxury Car Marketplace,Aneesh Mathur,Justdial,3000000.0,Unknown Stage
Wellversed,2018,New Delhi,Health,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",3000000.0,Pre-Series
Nykaa,2012,Mumbai,Manufacturing,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",3000000.0,Unknown Stage
Jumbotail,2015,Bangalore,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0,Series B
Winzo,2018,New Delhi,Technology,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",2000000.0,Unknown Stage
mCaffeine,2015,Mumbai,Manufacturing,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",5000000.0,Series B
Pocket FM,2018,Bangalore,Media & Entertainment,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Rohan Nayak,"Times Group, Lightspeed",5000000.0,Series A
Snackible,2015,Mumbai,Health,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,unknown,"Mumbai Angels, Murali Nair",3000000.0,Pre-Series
FreshtoHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",16000000.0,Unknown Stage
Jumbotail,2015,Bangalore,Retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",11000000.0,Series B
Nykaa,2012,Mumbai,E-commerce,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Katrina Kaif, Steadview Capital",3000000.0,Unknown Stage
TagZ Foods,2019,Bangalore,Food and Beverages,TagZ Foods is a supplier of snacks and food products.,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi",3000000.0,Unknown Stage
Genius Teacher,2016,Mumbai,Education,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2000000.0,Unknown Stage
